market,business_unit,country,region,employee_id,date,Indicator,Indicator_value,currency,project
APAC,HR,China,East Asia,,2024-01-02,Budget,"26,866.47",CNY,Project Vega
EMEA,Wholesale,Germany,Western Europe,,2024-01-02,Other Costs,"1,122.38",EUR,Project Falcon
EMEA,E-commerce,Spain,Southern Europe,,2024-01-02,Budget,"8,975.35",EUR,Project Falcon
AMER,Retail,United States,North America,,2024-01-02,Budget,"4,187.09",USD,Project Zenith
AMER,HR,Brazil,South America,,2024-01-02,Budget,"8,527.03",BRL,Project Zenith
AMER,HR,United States,North America,,2024-01-02,Budget,"21,085.74",USD,Project Falcon
APAC,HR,India,South Asia,EMP00057,2024-01-02,Wages Cost,"38,000.01",INR,Project Nova
EMEA,E-commerce,Portugal,Southern Europe,EMP00023,2024-01-02,Revenue,"9,170.93",EUR,Project Aurora
AMER,Wholesale,Mexico,North America,,2024-01-02,Budget,"14,123.20",MXN,Project Nova
EMEA,Retail,Italy,Southern Europe,EMP00059,2024-01-02,Revenue,"5,446.33",EUR,Project Titan
EMEA,Retail,France,Western Europe,,2024-01-02,Budget,"2,919.02",EUR,Project Horizon
EMEA,Wholesale,Italy,Southern Europe,,2024-01-02,Budget,"4,659.48",EUR,Project Zenith
EMEA,Wholesale,France,Western Europe,,2024-01-02,Budget,"3,308.37",EUR,Project Nimbus
APAC,Marketing,India,South Asia,EMP00074,2024-01-02,Wages Cost,"88,227.93",INR,Project Horizon
EMEA,Retail,Portugal,Southern Europe,,2024-01-02,Budget,"1,676.14",EUR,Project Zenith
APAC,Wholesale,China,East Asia,EMP00150,2024-01-02,Revenue,"25,799.77",CNY,Project Atlas
EMEA,Marketing,Germany,Western Europe,,2024-01-02,Budget,"36,695.98",EUR,Project Falcon
AMER,Retail,Canada,North America,,2024-01-02,Budget,"2,794.49",CAD,Project Zenith
AMER,HR,Canada,North America,,2024-01-02,Budget,"13,041.87",CAD,Project Orion
AMER,E-commerce,Argentina,South America,,2024-01-02,Budget,"2,590,567.22",ARS,Project Titan
AMER,E-commerce,Canada,North America,,2024-01-02,Budget,"7,631.90",CAD,Project Aurora
APAC,HR,India,South Asia,,2024-01-02,Budget,"46,141.29",INR,Project Nova
AMER,HR,Canada,North America,,2024-01-02,Budget,"11,970.85",CAD, Project Aurora
APAC,Logistics,India,South Asia,,2024-01-03,Budget,"113,601.25",INR,Project Orion
AMER,HR,Canada,North America,,2024-01-03,Budget,"9,133.79",cad,Project Titan
EMEA,E-commerce,France,Western Europe,,2024-01-03,Other Costs,"3,324.53",EUR,Project Nimbus
EMEA,Logistics,France,Western Europe,,2024-01-03,Budget,"20,692.10",EUR,Project Horizon
APAC,Retail,Japan,East Asia,,2024-01-03,Budget,"565,118.89",JPY,Project Falcon
EMEA,Finance,Netherlands,Western Europe,,2024-01-03,Budget,"9,288.02",EUR,Project Vega
AMER,Finance,Brazil,South America,,2024-01-03,Other Costs,"2,394.20",BRL,Project Nimbus
APAC,Retail,Australia,Oceania,,2024-01-03,Budget,"8,519.95",AUD,Project Orion
AMER,Retail,Mexico,North America,,2024-01-03,Other Costs,"11,648.56",MXN,Project Vega
EMEA,Finance,Spain,Southern Europe,,2024-01-03,Budget,"5,023.44",EUR,Project Atlas
AMER,Retail,Argentina,South America,,2024-01-03,Budget,"1,664,267.29",ARS,Project Falcon
AMER,Retail,Canada,North America,,2024-01-03,Budget,"8,797.51",CAD,Project Atlas
APAC,Retail,Australia,Oceania,,2024-01-03,Budget,"3,876.62",AUD,Project Titan
APAC,Logistics,China,East Asia,,2024-01-03,Other Costs,"4,105.89",CNY,Project Titan
APAC,Marketing,India,South Asia,,2024-01-03,Budget,"91,607.30",INR,Project Orion
EMEA,E-commerce,Spain,Southern Europe,,2024-01-03,Other Costs,"1,679.48",EUR,Project Zenith
AMER,IT Services,Mexico,North America,,2024-01-03,Budget,"74,584.09",MXN,Project Horizon
EMEA,Wholesale,Germany,Western Europe,,2024-01-03,Budget,"6,563.56",EUR,Project Horizon
EMEA,Marketing,Portugal,Southern Europe,,2024-01-03,Budget,"3,073.57",EUR,Project Vega
EMEA,Logistics,Portugal,Southern Europe,,2024-01-03,Budget,"1,567.25",EUR,Project Nova
AMER,Marketing,Brazil,South America,EMP00031,2024-01-03,Wages Cost,"18,269.47",BRL,Project Nimbus
AMER,IT Services,Mexico,North America,EMP00021,2024-01-03,Wages Cost,"50,168.38",MXN,Project Horizon
EMEA,Retail,United Kingdom,Northern Europe,,2024-01-03,Other Costs,"1,207.64",GBP,Project Nimbus
APAC,Marketing,China,East Asia,,2024-01-03,Budget,"20,618.21",CNY,Project Vega
APAC,HR,Australia,Oceania,,2024-01-03,Budget,"24,485.26",AUD,Project Falcon
EMEA,HR,United Kingdom,Northern Europe,,2024-01-03,Budget,"25,928.96",GBP,Project Atlas
EMEA,Marketing,France,Western Europe,,2024-01-03,Budget,"6,755.20",EUR,Project Zenith
APAC,Marketing,China,East Asia,EMP00301,2024-01-03,Revenue,"49,162.97",CNY,Project Vega
APAC,Marketing,China,East Asia,,2024-01-03,Budget,"22,724.61",CNY,Project Nimbus
AMER,IT Services,United States,North America,,2024-01-03,Budget,"4,858.70",USD,Project Titan
AMER,Marketing,Brazil,South America,,2024-01-03,Other Costs,"1,199.35",BRL,Project Titan
EMEA,E-commerce,Netherlands,Western Europe,,2024-01-03,Budget,"4,080.31",EUR,Project Orion
AMER,Marketing,Mexico,North America,,2024-01-03,Budget,"30,778.38",MXN,Project Zenith
APAC,Wholesale,China,East Asia,,2024-01-03,Budget,"3,763.36",CNY,Project Vega
AMER,Marketing,Argentina,South America,EMP00185,2024-01-03,Revenue,"4,838,674.01",ARS,Project Horizon
AMER,Logistics,Mexico,North America,EMP00093,2024-01-03,Wages Cost,"37,756.80",MXN,Project Orion
AMER,E-commerce,United States,North America,,2024-01-03,Budget,"8,971.50",USD,Project Horizon
AMER,E-commerce,United States,North America,,2024-01-03,Budget,"26,675.23",USD,Project Falcon
APAC,Logistics,China,East Asia,EMP00003,2024-01-03,Revenue,"51,800.43",CNY,Project Zenith
EMEA,IT Services,Netherlands,Western Europe,,2024-01-03,Budget,"16,563.48",EUR,Project Titan
EMEA,Marketing,Netherlands,Western Europe,,2024-01-03,Other Costs,"2,482.13",EUR,Project Aurora
AMER,IT Services,Argentina,South America,,2024-01-03,Budget,"1,039,018.52",ARS,Project Atlas
AMER,Retail,Mexico,North America,EMP00102,2024-01-03,Wages Cost,"33,153.41",MXN,Project Vega
APAC,Logistics,India,South Asia,EMP00202,2024-01-03,Wages Cost,"95,091.38",INR,Project Atlas
APAC,Logistics,China,East Asia,,2024-01-03,Other Costs,"2,127.73",CNY,Project  Zenith
AMER,E-commerce,United States,North America,,2024-01-03,Budget,"5,381.25",USD,Project Vega
AMER,IT Services,United States,North America,,2024-01-03,Other Costs,"2,629.22",USD,Project Nimbus
EMEA,Finance,Portugal,Southern Europe,,2024-01-04,Budget,"3,164.49",EUR,Project Zenith
AMER,Wholesale,Argentina,South America,,2024-01-04,Budget,"1,539,533.12",ARS,Project Orion
APAC,Logistics,Singapore,Southeast Asia,,2024-01-04,Other Costs,"7,785.21",SGD,Project Vega
EMEA,Wholesale,Germany,Western Europe,EMP00097,2024-01-04,Revenue,"3,338.06",EUR,Project Atlas
AMER,E-commerce,United States,North America,,2024-01-04,Budget,746.79,USD,Project Nimbus
AMER,Logistics,Mexico,North America,EMP00093,2024-01-04,Revenue,"109,370.25",MXN,Project Orion
APAC,Finance,Japan,East Asia,,2024-01-04,Budget,"596,198.12",JPY,Project Nimbus
EMEA,Finance,Germany,Western Europe,,2024-01-04,Other Costs,"2,198.73",EUR,Project Vega
AMER,Logistics,Mexico,North America,,2024-01-04,Other Costs,"15,139.41",MXN,Project Orion
AMER,IT Services,Argentina,South America,,2024-01-04,Budget,"1,792,825.54",ARS,Project Vega
AMER,Retail,United States,North America,,2024-01-04,Budget,"9,574.07",USD,Project Horizon
APAC,E-commerce,India,South Asia,,2024-01-04,Budget,"42,324.42",INR,Project Horizon
AMER,Logistics,Mexico,North America,EMP00006,2024-01-04,Wages Cost,"34,033.33",MXN,Project Zenith
EMEA,Wholesale,Spain,Southern Europe,EMP00104,2024-01-04,Revenue,"4,309.63",EUR,Project Falcon
APAC,Wholesale,Singapore,Southeast Asia,,2024-01-04,Budget,"5,176.68",SGD,Project Nimbus
AMER,Retail,United States,North America,,2024-01-04,Budget,"11,053.92",USD,Project Titan
APAC,Marketing,Australia,Oceania,,2024-01-04,Other Costs,982.96,AUD,Project Falcon
EMEA,Retail,Italy,Southern Europe,,2024-01-04,Budget,"1,358.28",EUR,Project Horizon
AMER,E-commerce,Mexico,North America,,2024-01-04,Budget,"42,838.94",MXN,Project Atlas
EMEA,E-commerce,France,Western Europe,,2024-01-04,Budget,"13,764.43",EUR,Project Nimbus
AMER,E-commerce,Mexico,North America,,2024-01-04,Budget,"16,006.41",MXN,Project Nova
APAC,HR,China,East Asia,,2024-01-04,Budget,"42,634.79",CNY,Project Atlas
EMEA,Marketing,Netherlands,Western Europe,EMP00332,2024-01-04,Revenue,"11,770.27",EUR,Project Falcon
EMEA,IT Services,Italy,Southern Europe,EMP00284,2024-01-04,Revenue,"21,899.43",EUR,Project Falcon
EMEA,Finance,Netherlands,Western Europe,,2024-01-04,Budget,"17,291.90",EUR,Project Falcon
APAC,Retail,China,East Asia,,2024-01-04,Budget,"10,664.15",CNY,Project Atlas
AMER,Retail,Brazil,South America,,2024-01-04,Other Costs,"1,917.26",BRL,Project Zenith
APAC,Marketing,India,South Asia,,2024-01-04,Other Costs,"15,886.86",INR,Project Orion
EMEA,Marketing,Netherlands,Western Europe,,2024-01-04,Budget,"8,359.80",EUR,Project Falcon
APAC,Finance,Singapore,Southeast Asia,,2024-01-04,Budget,"4,890.11",SGD,Project Nimbus
APAC,Logistics,India,South Asia,EMP00275,2024-01-04,Revenue,"455,486.41",INR,Project Atlas
APAC,HR,China,East Asia,,2024-01-04,Other Costs,"14,015.25",CNY,Project Atlas
EMEA,Logistics,France,Western Europe,EMP00110,2024-01-04,Wages Cost,"1,615.21",EUR,Project Horizon
EMEA,IT Services,Germany,Western Europe,EMP00103,2024-01-04,Wages Cost,"17,817.31",EUR,Project Nova
APAC,Retail,China,East Asia,,2024-01-04,Budget,"37,882.54",CNY,Project Orion
AMER,Retail,Argentina,South America,EMP00235,2024-01-04,Revenue,"4,368,980.38",ARS,Project Falcon
AMER,Logistics,Mexico,North America,,2024-01-04,Budget,"38,474.27",MXN,Project Orion
AMER,Wholesale,United States,North America,,2024-01-04,Budget,"5,219.95",USD,Project Falcon
AMER,Retail,Mexico,North America,,2024-01-05,Budget,"38,474.55",MXN,Project Titan
AMER,HR,Mexico,North America,,2024-01-05,Budget,"58,735.90",MXN,Project Nova
AMER,HR,Canada,North America,,2024-01-05,Budget,"15,873.96",CAD,Project Zenith
EMEA,IT Services,Netherlands,Western Europe,,2024-01-05,Budget,"4,708.54",EUR,Project Nova
AMER,IT Services,United States,North America,,2024-01-05,Budget,"12,157.45",USD,Project Nimbus
AMER,E-commerce,Argentina,South America,EMP00140,2024-01-05,Wages Cost,"824,517.29",ARS,Project Aurora
EMEA,Marketing,United Kingdom,Northern Europe,EMP00211,2024-01-05,Revenue,"6,023.11",GBP,Project Orion
EMEA,HR,Germany,Western Europe,EMP00205,2024-01-05,Wages Cost,"9,684.38",EUR,Project Atlas
EMEA,Wholesale,France,Western Europe,,2024-01-05,Other Costs,"3,252.25",EUR,Project Zenith
APAC,Retail,India,South Asia,EMP00214,2024-01-05,Wages Cost,"146,175.71",INR,Project Orion
AMER,Marketing,Canada,North America,,2024-01-05,Budget,"14,413.60",CAD,Project Orion
APAC,Marketing,India,South Asia,,2024-01-05,Other Costs,"28,754.98",INR,Project Horizon
EMEA,Retail,Netherlands,Western Europe,,2024-01-05,Other Costs,"3,833.94",EUR,Project Nova
AMER,Marketing,Argentina,South America,,2024-01-05,Other Costs,"171,726.27",ARS,Project Horizon
EMEA,E-commerce,United Kingdom,Northern Europe,,2024-01-05,Budget,378.31,GBP,Project Falcon
EMEA,Retail,Spain,Southern Europe,,2024-01-05,Budget,"8,016.27",EUR,Project Nimbus
EMEA,IT Services,Portugal,Southern Europe,,2024-01-05,Budget,"13,298.10",EUR,Project Nova
AMER,Finance,Brazil,South America,,2024-01-05,Budget,"27,930.26",BRL,Project Nimbus
APAC,HR,China,East Asia,,2024-01-05,Other Costs,"5,779.37",CNY,Project Vega
APAC,Retail,Japan,East Asia,,2024-01-05,Budget,"45,227.86",JPY,Project Horizon
AMER,IT Services,Brazil,South America,,2024-01-05,Budget,"3,328.53",BRL,Project Zenith
AMER,E-commerce,Mexico,North America,,2024-01-05,Other Costs,"13,809.07",MXN,Project Atlas
AMER,Wholesale,Brazil,South America,,2024-01-05,Budget,"7,189.97",BRL,Project Titan
APAC,Retail,Australia,Oceania,,2024-01-05,Budget,"15,930.87",AUD,Project Horizon
APAC,IT Services,India,South Asia,,2024-01-05,Budget,"128,057.08",INR,Project Falcon
APAC,Marketing,China,East Asia,,2024-01-05,Budget,"10,197.35",CNY,Project Falcon
EMEA,IT Services,Portugal,Southern Europe,,2024-01-05,Other Costs,"3,339.59",EUR,Project Nova
AMER,Wholesale,Argentina,South America,,2024-01-05,Budget,"438,356.86",ARS,Project Titan
AMER,E-commerce,Brazil,South America,,2024-01-05,Budget,"3,685.57",BRL,Project Falcon
AMER,Wholesale,United States,North America,,2024-01-05,Budget,"10,997.59",USD,Project Orion
AMER,Retail,Canada,North America,EMP00143,2024-01-05,Revenue,"8,601.72",CAD,Project Orion
EMEA,Logistics,United Kingdom,Northern Europe,EMP00078,2024-01-05,Wages Cost,"3,856.69",GBP,Project Aurora
APAC,Wholesale,China,East Asia,,2024-01-05,Budget,"58,947.66",CNY,Project Atlas
EMEA,Logistics,Netherlands,Western Europe,EMP00326,2024-01-05,Wages Cost,"9,606.72",EUR,Project Falcon
EMEA,Logistics,United Kingdom,Northern Europe,,2024-01-05,Other Costs,635.44,GBP,Project Atlas
EMEA,IT Services,Germany,Western Europe,,2024-01-05,Budget,"8,134.62",EUR,Project Nimbus
AMER,HR,Brazil,South America,,2024-01-05,Budget,"16,930.69",BRL,Project Horizon
EMEA,Retail,Netherlands,Western Europe,,2024-01-05,Budget,"11,716.06",EUR,Project Nova
APAC,E-commerce,India,South Asia,,2024-01-05,Budget,"84,391.29",INR,Project Nimbus
APAC,E-commerce,Japan,East Asia,,2024-01-05,Budget,"2,200,047.60",JPY,Project Horizon
EMEA,HR,United Kingdom,Northern Europe,EMP00034,2024-01-05,Wages Cost,"10,502.62",GBP,Project Atlas
APAC,Finance,China,East Asia,,2024-01-05,Budget,"28,148.07",CNY,Project Orion
AMER,Wholesale,United States,North America,,2024-01-05,Other Costs,"2,910.91",USD,Project Orion
AMER,Wholesale,Canada,North America,EMP00171,2024-01-05,Wages Cost,"6,390.26",CAD,Project Zenith
AMER,HR,Brazil,South America,,2024-01-05,Other Costs,"4,775.14",BRL,Project Horizon
EMEA,E-commerce,United Kingdom,Northern Europe,EMP00174,2024-01-05,Revenue,"9,112.21",GBP,Project Aurora
AMER,Marketing,Mexico,North America,EMP00131,2024-01-05,Revenue,"158,127.91",MXN,Project Orion
EMEA,E-commerce,Spain,Southern Europe,,2024-01-05,Budget,"2,905.71",EUR,Project Vega
EMEA,HR,Portugal,Southern Europe,,2024-01-05,Budget,"1,012.07",EUR,Project Titan
EMEA,Marketing,United Kingdom,Northern Europe,,2024-01-05,Other Costs,906.06,GBP,Project Nova
AMER,Finance,United States,North America,,2024-01-05,Other Costs,"2,692.05",USD,Project Atlas
AMER,HR,Mexico,North America,EMP00186,2024-01-05,Wages Cost,"13,751.85",MXN,Project Orion
EMEA,Finance,Spain,Southern Europe,EMP00017,2024-01-06,Wages Cost,"3,679.46",EUR,Project Atlas
AMER,Marketing,Mexico,North America,,2024-01-06,Budget,"32,801.33",MXN,Project Vega
APAC,Logistics,Australia,Oceania,,2024-01-06,Budget,"6,447.56",AUD,Project Horizon
AMER,IT Services,Mexico,North America,,2024-01-06,Budget,"179,138.03",MXN,Project Nova
EMEA,E-commerce,Portugal,Southern Europe,,2024-01-06,Budget,"2,798.47",EUR,Project Aurora
APAC,Retail,China,East Asia,EMP00231,2024-01-06,Revenue,"56,585.35",CNY,Project Atlas
EMEA,Wholesale,Portugal,Southern Europe,,2024-01-06,Budget,"2,662.69",EUR,Project Vega
AMER,E-commerce,Argentina,South America,,2024-01-06,Budget,"919,603.79",ARS,Project Aurora
APAC,Logistics,China,East Asia,EMP00117,2024-01-06,Revenue,"52,542.18",CNY,Project Horizon
AMER,Retail,United States,North America,EMP00331,2024-01-06,Wages Cost,"7,535.70",USD,Project Aurora
EMEA,E-commerce,Spain,Southern Europe,,2024-01-06,Budget,"7,338.53",EUR,Project Zenith
AMER,Logistics,Mexico,North America,EMP00006,2024-01-06,Revenue,"106,248.56",MXN,Project Zenith
EMEA,Logistics,Netherlands,Western Europe,,2024-01-06,Budget,"10,615.66",EUR,Project Falcon
EMEA,Wholesale,United Kingdom,Northern Europe,,2024-01-06,Budget,"4,530.45",GBP,Project Titan
AMER,Marketing,United States,North America,,2024-01-06,Budget,"9,733.48",USD,Project Aurora
APAC,Logistics,India,South Asia,EMP00322,2024-01-06,Wages Cost,"99,406.23",INR,Project Vega
AMER,Marketing,Mexico,North America,EMP00157,2024-01-06,Revenue,"138,967.02",MXN,Project Atlas
EMEA,IT Services,Germany,Western Europe,EMP00064,2024-01-06,Revenue,"19,762.54",EUR,Project Nimbus
EMEA,Logistics,United Kingdom,Northern Europe,EMP00298,2024-01-06,Wages Cost,"2,133.49",GBP,Project Atlas
APAC,Marketing,Japan,East Asia,,2024-01-06,Budget,"279,397.79",JPY,Project Aurora
APAC,Logistics,China,East Asia,,2024-01-06,Budget,"8,810.10",CNY,Project Zenith
AMER,HR,United States,North America,,2024-01-06,Budget,"8,184.97",USD,Project Orion
EMEA,Marketing,Netherlands,Western Europe,EMP00293,2024-01-06,Wages Cost,"8,025.37",EUR,Project Aurora
AMER,Marketing,Brazil,South America,EMP00031,2024-01-06,Revenue,"47,130.33",BRL,Project Nimbus
EMEA,Logistics,Spain,Southern Europe,,2024-01-06,Budget,"3,080.62",EUR,Project Horizon
APAC,Logistics,Australia,Oceania,,2024-01-06,Budget,"16,689.61",AUD,Project Aurora
AMER,HR,United States,North America,,2024-01-06,Budget,"8,184.97",USD,Project Orion
AMER,IT Services,Mexico,North America,EMP00210,2024-01-06,Wages Cost,"119,199.02",MXN,Project Nova
EMEA,Logistics,United Kingdom,Northern Europe,,2024-01-06,Other Costs,"1,017.22",GBP,Project Aurora
AMER,E-commerce,Argentina,South America,,2024-01-06,Other Costs,"691,890.05",ARS,Project Titan
AMER,Logistics,Canada,North America,,2024-01-06,Budget,"1,942.64",CAD,Project Titan
APAC,Logistics,India,South Asia,EMP00264,2024-01-06,Revenue,"458,991.48",INR,Project Orion
EMEA,Marketing,Italy,Southern Europe,,2024-01-06,Budget,"3,113.59",EUR,Project Nimbus
APAC,HR,Australia,Oceania,,2024-01-06,Other Costs,"2,169.03",AUD,Project Nimbus
EMEA,IT Services,Germany,Western Europe,,2024-01-06,Budget,"24,181.99",EUR,Project Nova
APAC,E-commerce,China,East Asia,,2024-01-06,Budget,"11,269.75",CNY,Project Horizon
EMEA,Marketing,Germany,Western Europe,,2024-01-06,Budget,731.36,EUR,Project Atlas
EMEA,HR,Germany,Western Europe,,2024-01-06,Budget,"13,901.86",EUR,Project Atlas
AMER,Logistics,United States,North America,,2024-01-06,Budget,"24,767.25",USD,Project Nova
AMER,Retail,United States,North America,,2024-01-06,Other Costs,863.93,USD,Project Zenith
EMEA,IT Services,Spain,Southern Europe,,2024-01-06,Budget,914.97,EUR,Project Zenith
AMER,Marketing,Brazil,South America,EMP00076,2024-01-06,Revenue,"66,724.45",BRL,Project Titan
EMEA,Wholesale,Germany,Western Europe,,2024-01-06,Budget,"2,769.68",EUR,Project Atlas
EMEA,Logistics,Germany,Western Europe,,2024-01-06,Budget,"9,167.18",EUR,Project Nimbus
APAC,E-commerce,Australia,Oceania,EMP00013,2024-01-06,Wages Cost,"4,469.39",AUD,Project Atlas
APAC,Retail,Australia,Oceania,,2024-01-06,Budget,"4,669.32",AUD,Project Atlas
APAC,Retail,India,South Asia,,2024-01-06,Budget,"169,128.04",INR,Project Orion
EMEA,Retail,France,Western Europe,,2024-01-06,Other Costs,"1,461.64",EUR,Project Nova
AMER,Marketing,Mexico,North America,,2024-01-06,Other Costs,"11,104.89",MXN,Project Zenith
APAC,HR,India,South Asia,,2024-01-06,Budget,"105,509.08",INR,Project Atlas
EMEA,Retail,France,Western Europe,,2024-01-06,Budget,"2,126.77",EUR,Project Zenith
EMEA,Wholesale,Germany,Western Europe,,2024-01-06,Budget,"2,769.68",EUR,Project Atlas
AMER,Wholesale,Canada,North America,,2024-01-06,Budget,"6,692.09",CAD,Project Zenith
EMEA,Retail,Spain,Southern Europe,,2024-01-07,Other Costs,"1,034.25",EUR,Project Nova
EMEA,Retail,Netherlands,Western Europe,,2024-01-07,Budget,"5,422.83",EUR,Project Nimbus
EMEA,E-commerce,United Kingdom,Northern Europe,,2024-01-07,Other Costs,538.19,GBP,Project Aurora
APAC,E-commerce,Australia,Oceania,EMP00013,2024-01-07,Revenue,"13,231.66",AUD,Project Atlas
EMEA,Retail,United Kingdom,Northern Europe,,2024-01-07,Budget,"2,385.00",GBP,Project Falcon
EMEA,Marketing,United Kingdom,Northern Europe,,2024-01-07,Budget,"3,771.09",GBP,Project Nova
AMER,Wholesale,Canada,North America,,2024-01-07,Budget,"6,847.10",CAD,Project Horizon
EMEA,IT Services,France,Western Europe,,2024-01-07,Budget,"5,452.31",EUR,Project Aurora
AMER,Retail,Mexico,North America,,2024-01-07,Budget,"29,539.43",MXN,Project Falcon
AMER,Wholesale,Mexico,North America,,2024-01-07,Budget,"7,593.51",MXN,Project Nimbus
AMER,Finance,United States,North America,,2024-01-07,Budget,"9,226.85",USD,Project Atlas
AMER,Wholesale,United States,North America,,2024-01-07,Budget,"8,047.85",USD,Project Horizon
AMER,E-commerce,Argentina,South America,EMP00025,2024-01-07,Wages Cost,"2,070,101.57",ARS,Project Titan
AMER,Retail,Mexico,North America,EMP00324,2024-01-07,Revenue,"93,716.13",MXN,Project Falcon
EMEA,Marketing,United Kingdom,Northern Europe,,2024-01-07,Budget,"10,410.54",GBP,Project Orion
APAC,Retail,Australia,Oceania,EMP00317,2024-01-07,Wages Cost,"14,763.03",AUD,Project Horizon
AMER,Retail,United States,North America,,2024-01-07,Budget,"6,899.43",USD,Project Orion
