employee_id,Grade,contract_type,date,project,hour_type,hours
EMP00264,Junior,Part-time,2024-01-01,Project Orion,Billable,41.8
EMP00131,Junior,Contractor,2024-01-01,Project Orion,Annual Leave,33.7
EMP00169,Analyst,Fixed-term,2024-01-01,Project Falcon,Non-Billable,65.0
EMP00195,Junior,Permanent,2024-01-01,Project Titan,Annual Leave,9.0
EMP00005,Intern,Permanent,2024-01-01,Project Zenith,Non-Billable,117.0
EMP00138,Senior Analyst,Part-time,2024-01-01,Project Vega,Non-Billable,45.3
EMP00320,Junior,Part-time,2024-01-01,Project Aurora,Non-Billable,58.8
EMP00029,Manager,Permanent,2024-01-01,Project Nimbus,Billable,47.0
EMP00080,Analyst,Part-time,2024-01-01,Project Nova,Billable,71.0
EMP00134,Analyst,Permanent,2024-01-01,Project Orion,Annual Leave,37.4
EMP00205,Manager,Permanent,2024-01-01,Project Atlas,Non-Billable,170.7
EMP00130,Junior,Permanent,2024-01-01,Project Nova,Non-Billable,130.6
EMP00022,Analyst,Permanent,2024-01-01,Project Orion,Non-Billable,108.8
EMP00146,Analyst,Permanent,2024-01-01,Project Aurora,Annual Leave,20.7
EMP00272,Senior Analyst,Contractor,2024-01-01,Project Zenith,Non-Billable,101.6
EMP00287,Senior Analyst,Contractor,2024-01-01,Project Aurora,Billable,51.5
EMP00210,Director,Fixed-term,2024-01-01,Project Nova,Billable,97.6
EMP00281,Analyst,Permanent,2024-01-01,Project Falcon,Billable,63.7
EMP00210,Director,Fixed-term,2024-01-01,Project Nova,Annual Leave,37.3
EMP00023,Junior,Permanent,2024-01-01,Project Aurora,Non-Billable,88.0
EMP00103,Director,Fixed-term,2024-01-01,Project Nova,Billable,115.9
EMP00096,Senior Analyst,Contractor,2024-01-01,Project Zenith,Billable,66.0
EMP00106,Intern,Contractor,2024-01-01,Project Nova,Non-Billable,100.2
EMP00106,Intern,Contractor,2024-01-01,Project Nova,Billable,46.6
EMP00173,Manager,Freelancer,2024-01-01,Project Aurora,Non-Billable,130.6
EMP00214,Senior Analyst,Freelancer,2024-01-01,Project Orion,Billable,47.6
EMP00330,Senior Analyst,Part-time,2024-01-01,Project Nimbus,Billable,24.2
EMP00332,Senior Analyst,Permanent,2024-01-01,Project Falcon,Non-Billable,83.6
EMP00150,Senior Manager,Fixed-term,2024-01-01,Project Atlas,Non-Billable,91.4
EMP00336,Manager,Freelancer,2024-01-01,Project Titan,Non-Billable,86.0
EMP00099,Analyst,Permanent,2024-01-01,Project Titan,Non-Billable,116.6
EMP00189,Senior Analyst,Part-time,2024-01-01,Project Nimbus,Billable,30.8
EMP00176,Senior Manager,Freelancer,2024-01-01,Project Nova,Billable,36.7
EMP00310,Senior Analyst,Fixed-term,2024-01-01,Project Atlas,Annual Leave,32.1
EMP00180,Analyst,Fixed-term,2024-01-01,Project Orion,Billable,65.2
EMP00186,Junior,Part-time,2024-01-01,Project Orion,Non-Billable,100.6
EMP00091,Senior Analyst,Permanent,2024-01-01,Project Nova,Billable,-56.6
EMP00289,Junior,Fixed-term,2024-01-01,Project Nova,Non-Billable,158.4
EMP00298,Junior,Freelancer,2024-01-01,Project Atlas,Non-Billable,79.8
EMP00061,Analyst,Permanent,2024-01-01,Project Horizon,Non-Billable,79.2
EMP00288,Junior,Permanent,2024-01-01,Project Zenith,Non-Billable,115.8
EMP00235,Analyst,Fixed-term,2024-01-01,Project Falcon,Non-Billable,112.5
EMP00104,Junior,Permanent,2024-01-01,Project Falcon,Billable,58.1
EMP00218,Analyst,Fixed-term,2024-01-01,Project Nimbus,Billable,48.1
EMP00215,Junior,Contractor,2024-01-01,Project Zenith,Billable,70.8
EMP00167,Junior,Permanent,2024-01-01,Project Nimbus,Non-Billable,172.4
EMP00162,Manager,Freelancer,2024-01-01,Project Orion,Non-Billable,136.4
EMP00022,Analyst,Permanent,2024-01-01,Project Orion,Billable,57.4
EMP00078,Analyst,Contractor,2024-01-01,Project Aurora,Non-Billable,102.3
EMP00301,Analyst,Freelancer,2024-01-01,Project Vega,Annual Leave,23.7
EMP00029,Manager,Permanent,2024-01-01,Project Nimbus,Non-Billable,111.3
EMP00174,Intern,Permanent,2024-01-01,Project Aurora,Billable,85.9
EMP00006,Analyst,Contractor,2024-01-01,Project Zenith,Non-Billable,78.8
EMP00201,Analyst,Permanent,2024-01-01,Project Falcon,Billable,60.8
EMP00084,Senior Manager,Contractor,2024-01-01,Project Falcon,Non-Billable,145.9
EMP00293,Manager,Fixed-term,2024-01-01,Project Aurora,Non-Billable,87.3
EMP00266,Manager,Fixed-term,2024-01-01,Project Orion,Billable,57.4
EMP00091,Senior Analyst,Permanent,2024-01-01,Project Nova,Non-Billable,116.5
EMP00285,Analyst,Fixed-term,2024-01-01,Project Aurora,Non-Billable,174.9
EMP00184,Junior,Permanent,2024-01-01,Project Falcon,Non-Billable,76.1
EMP00131,Junior,Contractor,2024-01-01,Project Orion,Non-Billable,68.9
EMP00190,Junior,Freelancer,2024-01-01,Project Horizon,Non-Billable,52.3
EMP00188,Analyst,Fixed-term,2024-01-01,Project Orion,Non-Billable,115.6
EMP00061,Analyst,Permanent,2024-01-01,Project Horizon,Billable,87.4
EMP00087,Analyst,Contractor,2024-01-01,Project Atlas,Non-Billable,75.8
EMP00132,Junior,Fixed-term,2024-01-01,Project Nimbus,Non-Billable,178.3
EMP00275,Junior,Part-time,2024-01-01,Project Atlas,Non-Billable,58.8
EMP00336,Manager,Freelancer,2024-01-01,Project Titan,Billable,46.1
EMP00140,Intern,Permanent,2024-01-01,Project Aurora,Non-Billable,90.3
EMP00225,Senior Analyst,Permanent,2024-01-01,Project Vega,Billable,67.2
EMP00317,Manager,Fixed-term,2024-01-01,Project Horizon,Billable,58.0
EMP00195,Junior,Permanent,2024-01-01,Project Titan,Non-Billable,124.6
EMP00263,Analyst,Part-time,2024-01-01,Project Zenith,Billable,40.7
EMP00021,Senior Analyst,Fixed-term,2024-01-01,Project Horizon,Billable,153.2
EMP00188,Analyst,Fixed-term,2024-01-01,Project Orion,Billable,55.1
EMP00273,Junior,Fixed-term,2024-01-01,Project Falcon,Annual Leave,30.4
EMP00214,Senior Analyst,Freelancer,2024-01-01,Project Orion,Non-Billable,84.7
EMP00263,Analyst,Part-time,2024-01-01,Project Zenith,Non-Billable,55.9
EMP00326,Manager,Permanent,2024-01-01,Project Falcon,Billable,69.1
EMP00025,Senior Analyst,Contractor,2024-01-01,Project Titan,Billable,84.0
EMP00148,Junior,Permanent,2024-01-01,Project Nova,Non-Billable,107.4
EMP00236,Analyst,Freelancer,2024-01-01,Project Zenith,Non-Billable,101.4
EMP00143,Analyst,Permanent,2024-01-01,Project Orion,Non-Billable,121.7
EMP00185,Junior,Part-time,2024-01-01,Project Horizon,Non-Billable,41.6
EMP00340,Analyst,Fixed-term,2024-01-01,Project Nova,Non-Billable,119.0
EMP00301,Analyst,Freelancer,2024-01-01,Project Vega,Billable,44.8
EMP00201,Analyst,Permanent,2024-01-01,Project Falcon,Non-Billable,110.9
EMP00194,Analyst,Freelancer,2024-01-01,Project Vega,Non-Billable,81.6
EMP00063,Junior,Permanent,2024-01-01,Project Falcon,Billable,71.3
EMP00213,Senior Analyst,Permanent,2024-01-01,Project Horizon,Non-Billable,97.4
EMP00281,Analyst,Permanent,2024-01-01,Project Falcon,Non-Billable,95.4
EMP00020,Senior Manager,Permanent,2024-01-01,Project Horizon,Billable,77.4
EMP00194,Analyst,Freelancer,2024-01-01,Project Vega,Annual Leave,20.6
EMP00064,Senior Analyst,Permanent,2024-01-01,Project Nimbus,Non-Billable,43.3
EMP00265,Intern,Permanent,2024-01-01,Project Zenith,Non-Billable,102.5
EMP00076,Intern,Permanent,2024-01-01,Project Titan,Billable,86.2
EMP00212,Junior,Fixed-term,2024-01-01,Project Vega,Annual Leave,38.9
EMP00287,Senior Analyst,Contractor,2024-01-01,Project Aurora,Non-Billable,85.2
EMP00223,Senior Manager,Permanent,2024-01-01,Project Titan,Non-Billable,51.0
EMP00257,Manager,Fixed-term,2024-01-01,Project Vega,Non-Billable,66.2
EMP00093,Analyst,Fixed-term,2024-01-01,Project Orion,Annual Leave,39.4
EMP00057,Intern,Part-time,2024-01-01,Project Nova,Non-Billable,97.7
EMP00155,Junior,Permanent,2024-01-01,Project Vega,Non-Billable,91.0
EMP00316,Analyst,Permanent,2024-01-01,Project Titan,Annual Leave,15.0
EMP00305,Junior,Permanent,2024-01-01,Project Nova,Non-Billable,165.8
EMP00272,Senior Analyst,Contractor,2024-01-01,Project Zenith,Billable,54.0
EMP00174,Intern,Permanent,2024-01-01,Project Aurora,Non-Billable,92.3
EMP00252,Intern,Part-time,2024-01-01,PROJECT TITAN,Non-Billable,100.7
EMP00189,Senior Analyst,Part-time,2024-01-01,Project Nimbus,Non-Billable,63.4
EMP00218,Analyst,Fixed-term,2024-01-01,Project Nimbus,Non-Billable,119.9
EMP00212,Junior,Fixed-term,2024-01-01,Project Vega,Non-Billable,77.2
EMP00080,Analyst,Part-time,2024-01-01,Project Nova,Non-Billable,26.0
EMP00284,Analyst,Permanent,2024-01-01,Project Falcon,Non-Billable,42.3
EMP00150,Senior Manager,Fixed-term,2024-01-01,Project Atlas,Billable,44.3
EMP00338,Intern,Contractor,2024-01-01,Project Nova,Billable,57.3
EMP00239,Analyst,Freelancer,2024-01-01,Project Vega,Annual Leave,12.1
EMP00078,Analyst,Contractor,2024-01-01,Project Aurora,Billable,54.7
EMP00099,Analyst,Permanent,2024-01-01,Project Titan,Billable,49.9
EMP00191,Intern,Freelancer,2024-01-01,Project Orion,Non-Billable,92.5
EMP00067,Manager,Part-time,2024-01-01,Project Vega,Non-Billable,93.2
EMP00012,Analyst,Fixed-term,2024-01-01,Project Nimbus,Non-Billable,104.7
EMP00338,Intern,Contractor,2024-01-01,Project Nova,Non-Billable,96.3
EMP00306,Junior,Permanent,2024-01-01,Project Vega,Non-Billable,166.3
EMP00254,Manager,Freelancer,2024-01-01,Project Orion,Non-Billable,-101.7
EMP00150,Senior Manager,Fixed-term,2024-01-01,Project Atlas,Annual Leave,31.7
EMP00196,Analyst,Part-time,2024-01-01,Project Orion,Billable,44.8
EMP00100,Junior,Freelancer,2024-01-01,,Non-Billable,127.5
EMP00215,Junior,Contractor,2024-01-01,Project Zenith,Non-Billable,94.5
EMP00213,Senior Analyst,Permanent,2024-01-01,Project Horizon,Billable,63.8
EMP00037,Analyst,Fixed-term,2024-01-01,Project Orion,Non-Billable,109.0
EMP00239,Analyst,Freelancer,2024-01-01,Project Vega,Billable,84.9
EMP00155,Junior,Permanent,2024-01-01,Project Vega,Billable,75.5
EMP00153,Analyst,Part-time,2024-01-01,Project Zenith,Non-Billable,64.1
EMP00321,Manager,Part-time,2024-01-01,Project Zenith,Non-Billable,61.1
EMP00303,Senior Manager,Permanent,2024-01-01,Project Horizon,Billable,48.2
EMP00037,Analyst,Fixed-term,2024-01-01,Project Orion,Billable,52.7
EMP00213,Senior Analyst,Permanent,2024-01-01,Project Horizon,Annual Leave,19.8
EMP00262,Analyst,Permanent,2024-01-01,Project Vega,Non-Billable,164.6
EMP00280,Manager,Permanent,2024-01-01,Project Orion,Non-Billable,159.9
EMP00126,Senior Manager,Part-time,2024-01-01,Project Vega,Billable,50.7
EMP00236,Analyst,Freelancer,2024-01-01,Project Zenith,Billable,40.1
EMP00041,Intern,Permanent,2024-01-01,Project Vega,Non-Billable,175.2
EMP00072,Senior Analyst,Permanent,2024-01-01,Project Titan,Non-Billable,152.7
EMP00117,Intern,Fixed-term,2024-01-01,Project Horizon,Non-Billable,96.6
EMP00307,Analyst,Part-time,2024-01-01,Project Horizon,Non-Billable,67.0
EMP00076,Intern,Permanent,2024-01-01,Project Titan,Non-Billable,92.4
EMP00171,Analyst,Permanent,2024-01-01,Project Zenith,Billable,55.1
EMP00250,Senior Manager,Fixed-term,2024-01-01,Project Zenith,Billable,36.8
EMP00146,Analyst,Permanent,2024-01-01,Project Aurora,Billable,94.9
EMP00326,Manager,Permanent,2024-01-01,Project Falcon,Non-Billable,118.6
EMP00257,Manager,Fixed-term,2024-01-01,Project Vega,Billable,74.6
EMP00200,Senior Manager,Fixed-term,2024-01-01,Project Vega,Billable,75.5
EMP00225,Senior Analyst,Permanent,2024-01-01,Project Vega,Non-Billable,86.5
EMP00200,Senior Manager,Fixed-term,2024-01-01,Project Vega,Non-Billable,95.2
EMP00045,Analyst,Fixed-term,2024-01-01,Project Atlas,Billable,84.4
EMP00291,Analyst,Fixed-term,2024-01-01,Project Horizon,Billable,50.9
EMP00266,Manager,Fixed-term,2024-01-01,Project Orion,Non-Billable,114.3
EMP00250,Senior Manager,Fixed-term,2024-01-01,Project Zenith,Non-Billable,97.1
EMP00331,Senior Analyst,Permanent,2024-01-01,Project Aurora,Non-Billable,111.5
EMP00033,Director,Fixed-term,2024-01-01,Project Horizon,Non-Billable,90.5
EMP00297,Junior,Permanent,2024-01-01,Project Vega,Non-Billable,80.4
EMP00082,Analyst,Permanent,2024-01-01,Project Nimbus,Non-Billable,169.6
EMP00093,Analyst,Fixed-term,2024-01-01,Project Orion,Billable,58.1
EMP00251,Director,Fixed-term,2024-01-01,Project Falcon,Non-Billable,83.1
EMP00246,Manager,Part-time,2024-01-01,Project Zenith,Non-Billable,31.1
EMP00139,Intern,Permanent,2024-01-01,Project Titan,Non-Billable,176.0
EMP00330,Senior Analyst,Part-time,2024-01-01,Project Nimbus,Non-Billable,65.2
EMP00202,Junior,Permanent,2024-01-01,Project Atlas,Billable,78.3
EMP00247,Junior,Fixed-term,2024-01-01,Project Titan,Non-Billable,113.1
EMP00268,Senior Analyst,Permanent,2024-01-01,Project Horizon,Billable,41.5
EMP00113,Analyst,Permanent,2024-01-01,Project Atlas,Non-Billable,167.1
EMP00077,Senior Analyst,Fixed-term,2024-01-01,Project Horizon,Annual Leave,9.1
EMP00011,Executive,Permanent,2024-01-01,Project Falcon,Non-Billable,84.6
EMP00211,Manager,Fixed-term,2024-01-01,Project Orion,Non-Billable,110.3
EMP00211,Manager,Fixed-term,2024-01-01,Project Orion,Billable,56.2
EMP00093,Analyst,Fixed-term,2024-01-01,Project Orion,Non-Billable,82.0
EMP00286,Analyst,Fixed-term,2024-01-01,Project Nimbus,Annual Leave,39.5
EMP00256,Manager,Part-time,2024-01-01,Project Atlas,Non-Billable,100.7
EMP00335,Senior Analyst,Permanent,2024-01-01,Project Falcon,Billable,78.1
EMP00049,Senior Manager,Fixed-term,2024-01-01,Project Vega,Annual Leave,18.2
EMP00006,Analyst,Contractor,2024-01-01,Project Zenith,Annual Leave,18.6
EMP00168,Junior,Permanent,2024-01-01,Project Atlas,Non-Billable,157.0
EMP00284,Analyst,Permanent,2024-01-01,Project Falcon,Billable,112.4
EMP00049,Senior Manager,Fixed-term,2024-01-01,Project Vega,Non-Billable,40.0
EMP00050,Manager,Freelancer,2024-01-01,Project Vega,Non-Billable,125.4
EMP00317,Manager,Fixed-term,2024-01-01,Project Horizon,Non-Billable,119.3
EMP00146,Analyst,Permanent,2024-01-01,Project Aurora,Non-Billable,52.6
EMP00096,Senior Analyst,Contractor,2024-01-01,Project Zenith,Non-Billable,71.9
EMP00294,Senior Manager,Permanent,2024-01-01,Project Nova,Billable,101.9
EMP00291,Analyst,Fixed-term,2024-01-01,Project Horizon,Non-Billable,111.6
EMP00194,Analyst,Freelancer,2024-01-01,Project Vega,Billable,39.8
EMP00254,Manager,Freelancer,2024-01-01,Project Orion,Billable,39.4
EMP00101,Manager,Permanent,2024-01-01,Project Zenith,Non-Billable,151.6
EMP00171,Analyst,Permanent,2024-01-01,Project Zenith,Annual Leave,27.8
EMP00058,Manager,Freelancer,2024-01-01,Project Zenith,Non-Billable,71.1
EMP00157,Junior,Permanent,2024-01-01,Project Atlas,Billable,62.9
EMP00142,Analyst,Permanent,2024-01-01,Project Falcon,Non-Billable,91.7
EMP00310,Senior Analyst,Fixed-term,2024-01-01,Project Atlas,Non-Billable,132.6
EMP00335,Senior Analyst,Permanent,2024-01-01,Project Falcon,Non-Billable,89.3
EMP00339,Manager,Contractor,2024-01-01,Project Nova,Non-Billable,125.4
EMP00034,Senior Manager,Permanent,2024-01-01,Project Atlas,Non-Billable,161.9
EMP00143,Analyst,Permanent,2024-01-01,Project Orion,Billable,48.7
EMP00031,Manager,Contractor,2024-01-01,Project Nimbus,Billable,65.4
EMP00273,Junior,Fixed-term,2024-01-01,Project Falcon,Non-Billable,35.4
EMP00195,Junior,Permanent,2024-01-01,Project Titan,Billable,47.5
EMP00332,Senior Analyst,Permanent,2024-01-01,Project Falcon,Billable,81.4
EMP00231,Intern,Fixed-term,2024-01-01,Project Atlas,Billable,60.0
EMP00247,Junior,Fixed-term,2024-01-01,Project Titan,Billable,68.2
EMP00191,Intern,Freelancer,2024-01-01,Project Orion,Billable,46.8
EMP00171,Analyst,Permanent,2024-01-01,Project Zenith,Non-Billable,88.3
EMP00098,Intern,Fixed-term,2024-01-01,Project Atlas,Non-Billable,50.8
EMP00125,Senior Analyst,Fixed-term,2024-01-01,Project Titan,Billable,46.0
EMP00097,Analyst,Freelancer,2024-01-01,Project Atlas,Billable,50.8
EMP00288,Junior,Permanent,2024-01-01,Project Zenith,Billable,45.7
EMP00028,Analyst,Permanent,2024-01-01,Project Vega,Non-Billable,171.4
EMP00242,Intern,Permanent,2024-01-01,Project Nova,Billable,51.1
EMP00275,Junior,Part-time,2024-01-01,Project Atlas,Billable,45.0
EMP00268,Senior Analyst,Permanent,2024-01-01,Project Horizon,Non-Billable,125.0
EMP00117,Intern,Fixed-term,2024-01-01,Project Horizon,Billable,65.8
EMP00297,Junior,Permanent,2024-01-01,Project Vega,Annual Leave,32.1
EMP00011,Executive,Permanent,2024-01-01,Project Falcon,Billable,73.2
EMP00013,Analyst,Part-time,2024-01-01,Project Atlas,Billable,54.4
EMP00257,Manager,Fixed-term,2024-01-01,Project Vega,Annual Leave,26.5
EMP00006,Analyst,Contractor,2024-01-01,Project Zenith,Billable,59.7
EMP00059,Manager,Fixed-term,2024-01-01,Project Titan,Non-Billable,130.7
EMP00244,Senior Analyst,Permanent,2024-01-01,Project Nimbus,Non-Billable,50.3
EMP00030,Manager,Permanent,2024-01-01,Project Aurora,Billable,58.0
EMP00331,Senior Analyst,Permanent,2024-01-01,Project Aurora,Billable,51.6
EMP00043,Intern,Contractor,2024-01-01,Project Falcon,Billable,70.4
EMP00128,Manager,Fixed-term,2024-01-01,Project Vega,Non-Billable,87.3
EMP00246,Manager,Part-time,2024-01-01,Project Zenith,Billable,64.2
EMP00070,Junior,Permanent,2024-01-01,Project Nimbus,Non-Billable,106.0
EMP00172,Senior Analyst,Part-time,2024-01-01,Project Zenith,Annual Leave,9.2
EMP00003,Intern,Freelancer,2024-01-01,Project Zenith,Billable,51.6
EMP00036,Senior Manager,Permanent,2024-01-01,Project Nimbus,Billable,82.3
EMP00074,Junior,Permanent,2024-01-01,Project Horizon,Billable,67.5
EMP00180,Analyst,Fixed-term,2024-01-01,Project Orion,Annual Leave,12.0
EMP00169,Analyst,Fixed-term,2024-01-01,Project Falcon,Billable,62.9
EMP00318,Junior,Contractor,2024-01-01,Project Nimbus,Non-Billable,147.9
EMP00204,Junior,Permanent,2024-01-01,Project Zenith,Billable,85.4
EMP00184,Junior,Permanent,2024-01-01,Project Falcon,Billable,52.9
EMP00164,Junior,Contractor,2024-01-01,Project Nova,Non-Billable,154.1
EMP00013,Analyst,Part-time,2024-01-01,Project Atlas,Non-Billable,47.6
EMP00012,Analyst,Fixed-term,2024-01-01,Project Nimbus,Annual Leave,24.3
EMP00180,Analyst,Fixed-term,2024-01-01,Project Orion,Non-Billable,107.5
EMP00185,Junior,Part-time,2024-01-01,Project Horizon,Billable,46.0
EMP00097,Analyst,Freelancer,2024-01-01,Project Atlas,Non-Billable,86.6
EMP00056,Analyst,Permanent,2024-01-01,Project Aurora,Non-Billable,103.9
EMP00339,Manager,Contractor,2024-01-01,Project Nova,Annual Leave,18.6
EMP00231,Intern,Fixed-term,2024-01-01,Project Atlas,Non-Billable,108.6
EMP00049,Senior Manager,Fixed-term,2024-01-01,Project Vega,Billable,107.1
EMP00324,Junior,Permanent,2024-01-01,Project Falcon,Billable,46.3
EMP00094,Senior Analyst,Contractor,2024-01-01,Project Vega,Billable,50.3
EMP00206,Senior Analyst,Part-time,2024-01-01,Project Nimbus,Billable,34.3
EMP00128,Manager,Fixed-term,2024-01-01,Project Vega,Billable,75.0
EMP00223,Senior Manager,Permanent,2024-01-01,Project Titan,Billable,119.5
EMP00086,Senior Analyst,Part-time,2024-01-01,Project Falcon,Non-Billable,65.4
EMP00110,Junior,Part-time,2024-01-01,Project Horizon,Non-Billable,54.9
EMP00264,Junior,Part-time,2024-01-01,Project Orion,Non-Billable,56.1
EMP00244,Senior Analyst,Permanent,2024-01-01,Project Nimbus,Billable,111.9
EMP00337,Senior Manager,Permanent,2024-01-01,Project Falcon,Annual Leave,35.0
EMP00239,Analyst,Freelancer,2024-01-01,Project Vega,Non-Billable,37.8
EMP00202,Junior,Permanent,2024-01-01,Project Atlas,Non-Billable,94.0
EMP00163,Senior Analyst,Part-time,2024-01-01,Project Aurora,Non-Billable,107.1
EMP00321,Manager,Part-time,2024-01-01,Project Zenith,Billable,40.9
EMP00224,Senior Manager,Fixed-term,2024-01-01,Project Falcon,Non-Billable,172.4
EMP00108,Junior,Permanent,2024-01-01,Project Titan,Billable,62.2
EMP00176,Senior Manager,Freelancer,2024-01-01,,Maternity Leave,29.9
EMP00316,Analyst,Permanent,2024-01-01,Project Titan,Non-Billable,161.1
EMP00273,Junior,Fixed-term,2024-01-01,Project Falcon,Billable,104.3
EMP00104,Junior,Permanent,2024-01-01,Project Falcon,Non-Billable,103.1
EMP00157,Junior,Permanent,2024-01-01,Project Atlas,Non-Billable,99.1
EMP00020,Senior Manager,Permanent,2024-01-01,Project Horizon,Non-Billable,90.1
EMP00153,Analyst,Part-time,2024-01-01,Project Zenith,Billable,29.3
EMP00250,Senior Manager,Fixed-term,2024-01-01,,Maternity Leave,34.1
EMP00031,Manager,Contractor,2024-01-01,Project Nimbus,Non-Billable,81.0
EMP00271,Senior Analyst,Permanent,2024-01-01,Project Aurora,Non-Billable,158.2
EMP00102,Analyst,Contractor,2024-01-01,Project Vega,Annual Leave,23.1
EMP00242,Intern,Permanent,2024-01-01,Project Nova,Non-Billable,106.1
EMP00206,Senior Analyst,Part-time,2024-01-01,Project Nimbus,Non-Billable,67.2
EMP00340,Analyst,Fixed-term,2024-01-01,Project Nova,Billable,50.7
EMP00063,Junior,Permanent,2024-01-01,Project Falcon,Non-Billable,96.3
EMP00131,Junior,Contractor,2024-01-01,Project Orion,Billable,62.1
EMP00212,Junior,Fixed-term,2024-01-01,Project Vega,Billable,56.4
EMP00064,Senior Analyst,Permanent,2024-01-01,Project Nimbus,Billable,131.7
EMP00320,Junior,Part-time,2024-01-01,Project Aurora,Billable,33.3
EMP00103,Director,Fixed-term,2024-01-01,Project Nova,Non-Billable,32.1
EMP00293,Manager,Fixed-term,2024-01-01,Project Aurora,Billable,58.8
EMP00036,Senior Manager,Permanent,2024-01-01,Project Nimbus,Non-Billable,81.6
EMP00070,Junior,Permanent,2024-01-01,Project Nimbus,Billable,66.5
EMP00012,Analyst,Fixed-term,2024-01-01,Project Nimbus,Billable,45.5
EMP00286,Analyst,Fixed-term,2024-01-01,Project Nimbus,Billable,62.4
EMP00065,Director,Fixed-term,2024-01-01,Project Aurora,Non-Billable,178.8
EMP00301,Analyst,Freelancer,2024-01-01,Project Vega,Non-Billable,68.2
EMP00086,Senior Analyst,Part-time,2024-01-01,Project Falcon,Billable,27.4
EMP00005,Intern,Permanent,2024-01-01,Project Zenith,Billable,46.3
EMP00172,Senior Analyst,Part-time,2024-01-01,Project Zenith,Non-Billable,97.7
EMP00176,Senior Manager,Freelancer,2024-01-01,Project Nova,Non-Billable,75.2
EMP00297,Junior,Permanent,2024-01-01,Project Vega,Billable,49.0
EMP00233,Junior,Permanent,2024-01-01,Project Orion,Billable,44.3
EMP00023,Junior,Permanent,2024-01-01,Project Aurora,Billable,79.4
EMP00196,Analyst,Part-time,2024-01-01,Project Orion,Non-Billable,47.9
EMP00103,Director,Fixed-term,2024-01-01,Project Nova,Annual Leave,23.3
EMP00025,Senior Analyst,Contractor,2024-01-01,Project Titan,Non-Billable,72.5
EMP00311,Analyst,Permanent,2024-01-01,Project Nimbus,Non-Billable,174.4
EMP00032,Manager,Contractor,2024-01-01,Project Atlas,Non-Billable,171.3
EMP00108,Junior,Permanent,2024-01-01,Project Titan,Non-Billable,111.6
EMP00110,Junior,Part-time,2024-01-01,Project Horizon,Billable,42.6
EMP00021,Senior Analyst,Fixed-term,2024-01-01,Project Horizon,Non-Billable,33.8
